customer_id,customer_name,plan,billing_type,invoice_date,invoice_id,amount_usd,status,is_first_month,is_churn_month
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-02-12,in_97369856cc,897.54,Failed,Y,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-03-19,in_5f5e52e1f0,920.82,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-04-26,in_4951b2a56e,919.09,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-05-30,in_e3761ce923,889.92,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-06-12,in_398bde3564,873.55,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-07-11,in_607805d514,893.95,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-08-15,in_1f036d9b4e,912.74,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-09-25,in_c07f6115de,884.72,Failed,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-10-22,in_9bd65d5fc2,921.82,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-11-12,in_d43b814d78,914.44,Paid,N,N
CUST-1000,Pinecrest Builders,Growth,Monthly,2025-12-10,in_247c399c7d,915.35,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-02-09,in_5d5f5db6c0,918.58,Paid,Y,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-03-15,in_e654e5658b,902.26,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-04-20,in_bf81d6acc9,900.87,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-05-24,in_39a9aa2a43,898.3,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-06-09,in_b50cac895f,895.83,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-07-20,in_56ffe364f4,915.06,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-08-12,in_5d5f49f68b,902.81,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-09-08,in_5e4c19d8cd,874.23,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-10-21,in_99f784a3e1,902.27,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-11-25,in_73023de6a3,891.48,Paid,N,N
CUST-1001,Cascade Electrical Co,Growth,Monthly,2025-12-16,in_696de48e80,904.96,Refunded,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-04-02,in_da1bb8a2fb,6705.85,Paid,Y,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-05-02,in_be942833f4,6717.9,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-06-21,in_a0c40d6270,6922.82,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-07-06,in_3dff55bae7,6681.45,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-08-04,in_d3d188b748,6842.85,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-09-04,in_b6c6c304c1,6629.47,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-10-24,in_6cc98fa997,6682.33,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-11-03,in_a4f8220925,6731.24,Paid,N,N
CUST-1002,Highfield Electrical Co,Enterprise,Monthly,2025-12-19,in_6603ab9f96,6643.22,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-01-28,in_42b4743d34,303.9,Paid,Y,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-02-01,in_67fdf22693,302.97,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-03-28,in_94f46ea205,294.72,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-04-02,in_8af90b21ef,294.55,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-05-21,in_95769fa576,304.93,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-06-22,in_d471e8ec48,298.76,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-07-27,in_54387441e0,306.62,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-08-24,in_6ef6b583c2,291.95,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-09-05,in_cb4c477a97,290.65,Refunded,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-10-24,in_3e63056e65,298.07,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-11-04,in_668e07f5aa,299.43,Paid,N,N
CUST-1003,Stonegate Trades Group,Starter,Monthly,2025-12-08,in_6beba5526b,303.46,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-03-26,in_1ada66dc7a,293.37,Paid,Y,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-04-02,in_9684a842b7,301.63,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-05-04,in_7cec559f6f,295.11,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-06-02,in_3f457916c8,304.75,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-07-27,in_78eecbe564,307.65,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-08-24,in_baa33a7446,299.4,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-09-02,in_c616136a59,292.31,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-10-23,in_88273c7003,301.44,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-11-12,in_5aadd86b96,291.32,Paid,N,N
CUST-1004,Timberview Electrical Co,Starter,Monthly,2025-12-16,in_5dcd7e2407,295.62,Paid,N,N
CUST-1005,Stonegate Construction,Growth,Monthly,2025-04-10,in_bbd2a00288,895.93,Paid,Y,N
CUST-1005,Stonegate Construction,Growth,Monthly,2025-05-18,in_a95cd73ec9,883.84,Paid,N,N
CUST-1005,Stonegate Construction,Growth,Monthly,2025-06-05,in_447dc9c998,889.36,Paid,N,N
CUST-1005,Stonegate Construction,Growth,Monthly,2025-07-23,in_c6bad3c944,873.07,Paid,N,N
